City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-03-19,105.06,,46.24,37.05,82.23,,46.24,53.62,45.65,20.89,75.36,12.7,883.0,Severe
Ahmedabad,2015-03-20,94.1,,22.14,36.53,57.49,,22.14,61.31,46.77,17.5,52.01,7.9,720.0,Severe
Ahmedabad,2015-03-21,111.89,,22.25,43.29,64.53,,22.25,66.44,50.57,18.03,56.86,8.86,570.0,Severe
Ahmedabad,2015-03-22,108.59,,25.38,39.34,63.01,,25.38,75.8,46.68,15.78,48.41,7.07,589.0,Severe
Ahmedabad,2015-03-23,130.76,,45.61,41.03,85.76,,45.61,65.77,41.58,24.12,85.31,12.56,818.0,Severe
Ahmedabad,2015-03-24,143.55,,27.3,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15,737.0,Severe
Ahmedabad,2015-03-25,165.07,,23.83,34.48,57.71,,23.83,64.32,43.79,29.14,64.01,8.51,585.0,Severe
Ahmedabad,2015-03-26,166.85,,17.93,43.3,60.07,,17.93,79.71,53.44,24.09,67.38,9.76,616.0,Severe
Ahmedabad,2015-03-27,147.38,,6.4,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7,437.0,Severe
Ahmedabad,2015-03-28,158.25,,5.86,27.89,32.65,,5.86,142.36,38.54,13.67,21.24,2.83,321.0,Very Poor
Ahmedabad,2015-03-29,237.76,,4.99,21.8,25.37,,4.99,96.28,39.77,8.68,14.95,1.28,372.0,Very Poor
Ahmedabad,2015-03-30,133.37,,3.88,17.99,21.02,,3.88,57.34,39.66,5.76,11.74,1.04,339.0,Very Poor
Ahmedabad,2015-03-31,133.3,,6.52,20.0,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339.0,Very Poor
Ahmedabad,2015-04-01,96.04,,3.8,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65,324.0,Very Poor
Ahmedabad,2015-04-02,77.69,,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor
Ahmedabad,2015-04-03,53.07,,4.17,13.82,17.45,,4.17,40.36,21.76,4.47,6.94,0.42,169.0,Moderate
Ahmedabad,2015-04-04,63.11,,5.63,15.5,18.49,,5.63,38.21,4.72,5.2,8.17,0.73,220.0,Poor
Ahmedabad,2015-04-05,156.76,,3.92,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97,,
Ahmedabad,2015-04-06,120.96,,4.23,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68,303.0,Very Poor
Ahmedabad,2015-04-07,138.63,,5.65,25.47,30.67,,5.65,87.43,29.77,11.25,24.67,3.12,314.0,Very Poor
Ahmedabad,2015-04-08,144.36,,15.82,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71,378.0,Very Poor
Ahmedabad,2015-04-09,85.03,,3.3,26.7,27.41,,3.3,59.16,35.89,7.58,29.19,4.08,415.0,Severe
Ahmedabad,2015-04-10,134.6,,5.9,26.27,28.7,,5.9,34.53,7.0,0.0,0.0,0.0,,
Ahmedabad,2015-04-11,61.06,,3.52,14.03,17.59,,3.52,8.08,19.54,0.0,0.0,0.01,126.0,Moderate
Ahmedabad,2015-04-12,39.42,,5.28,19.56,24.66,,5.28,17.66,31.3,0.0,0.0,0.0,175.0,Moderate
Ahmedabad,2015-04-13,111.86,,3.89,22.51,25.17,,3.89,15.84,31.23,0.0,0.0,0.0,226.0,Poor
Ahmedabad,2015-04-14,58.37,,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244.0,Poor
Ahmedabad,2015-04-15,95.37,,18.01,26.23,44.34,,18.01,13.59,41.64,1.21,3.28,20.78,315.0,Very Poor
Ahmedabad,2015-04-16,141.3,,30.8,36.88,66.53,,30.8,41.06,37.66,0.66,0.01,28.13,678.0,Severe
Ahmedabad,2015-04-17,106.68,,19.91,46.38,54.77,,19.91,31.56,48.49,1.67,0.0,15.95,774.0,Severe
Ahmedabad,2015-04-18,109.48,,4.3,20.27,22.86,,4.3,46.6,31.34,0.05,0.0,6.19,285.0,Poor
Ahmedabad,2015-04-19,126.04,,6.99,20.18,26.78,,6.99,79.56,28.71,0.2,0.0,6.4,321.0,Very Poor
Ahmedabad,2015-04-20,71.22,,16.73,21.32,37.58,,16.73,50.09,28.39,1.38,23.54,6.09,358.0,Very Poor
Ahmedabad,2015-04-21,97.87,,6.3,17.96,23.45,,6.3,13.85,34.16,0.21,4.91,2.95,357.0,Very Poor
Ahmedabad,2015-04-22,63.38,,3.44,13.28,15.44,,3.44,24.79,43.62,0.0,0.0,1.23,189.0,Moderate
Ahmedabad,2015-04-23,75.29,,3.35,14.29,17.97,,3.35,76.05,60.71,0.0,0.01,2.27,,
Ahmedabad,2015-04-24,80.9,,5.7,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46,214.0,Poor
Ahmedabad,2015-04-25,103.29,,4.55,19.82,23.69,,4.55,85.42,22.18,0.06,1.17,2.58,253.0,Poor
Ahmedabad,2015-04-26,107.5,,5.29,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91,239.0,Poor
Ahmedabad,2015-04-27,161.14,,3.11,14.77,16.12,,3.11,118.35,59.73,0.0,2.55,0.0,,
Ahmedabad,2015-04-28,102.58,,3.88,12.74,16.82,,3.88,41.94,26.89,0.02,6.4,0.76,,
Ahmedabad,2015-04-29,138.42,,5.05,16.7,21.56,,5.05,77.74,27.18,0.01,0.88,2.01,300.0,Poor
Ahmedabad,2015-04-30,129.04,,5.69,14.86,19.66,,5.69,78.27,18.67,0.0,0.0,1.54,317.0,Very Poor
Ahmedabad,2015-05-01,96.65,,4.67,15.9,20.53,,4.67,39.41,11.83,0.01,0.0,3.11,240.0,Poor
Ahmedabad,2015-05-02,126.77,,15.69,23.93,39.73,,15.69,93.18,36.71,0.22,0.04,10.0,344.0,Very Poor
Ahmedabad,2015-05-03,106.15,,13.12,23.02,35.05,,13.12,65.95,81.6,0.3,0.02,9.69,503.0,Severe
Ahmedabad,2015-05-04,86.31,,2.69,10.5,10.9,,2.69,50.13,90.54,0.47,0.15,12.8,308.0,Very Poor
Ahmedabad,2015-05-05,83.99,,2.73,0.08,2.75,,2.73,34.06,69.57,0.28,0.05,8.97,227.0,Poor
Ahmedabad,2015-05-06,65.11,,3.14,4.58,6.75,,3.14,22.27,32.26,0.17,0.04,5.84,120.0,Moderate
Ahmedabad,2015-05-07,51.03,,6.24,20.47,26.2,,6.24,15.5,31.44,0.0,0.0,1.29,158.0,Moderate
Ahmedabad,2015-05-08,38.73,,8.0,19.28,26.61,,8.0,20.13,25.7,0.0,0.0,2.08,177.0,Moderate
Ahmedabad,2015-05-09,61.12,,9.94,17.82,27.18,,9.94,39.69,25.9,0.0,0.0,3.49,201.0,Poor
Ahmedabad,2015-05-10,58.44,,10.68,17.24,27.38,,10.68,54.69,18.89,0.0,0.0,1.39,211.0,Poor
Ahmedabad,2015-05-11,61.49,,11.44,16.69,27.61,,11.44,42.66,18.2,0.01,0.0,2.59,221.0,Poor
Ahmedabad,2015-05-12,65.39,,12.3,16.08,27.86,,12.3,27.96,22.35,0.0,0.0,2.29,233.0,Poor
Ahmedabad,2015-05-13,100.92,,20.42,18.9,37.83,,20.42,31.9,22.84,4.9,19.26,8.21,481.0,Severe
Ahmedabad,2015-05-14,97.48,,5.31,30.02,33.62,,5.31,36.05,16.26,10.6,34.91,3.85,352.0,Very Poor
Ahmedabad,2015-05-15,129.27,,14.28,28.33,41.92,,14.28,70.13,25.4,16.9,44.19,4.97,327.0,Very Poor
Ahmedabad,2015-05-16,129.58,,21.23,28.79,45.4,,21.23,17.66,34.42,20.53,85.73,11.56,577.0,Severe
Ahmedabad,2015-05-17,100.57,,7.56,18.79,24.33,,7.56,38.76,38.83,4.92,17.94,1.54,411.0,Severe
Ahmedabad,2015-05-18,130.34,,7.14,17.43,23.72,,7.14,52.07,29.05,5.05,14.0,1.3,212.0,Poor
Ahmedabad,2015-05-19,53.24,,8.05,15.86,23.34,,8.05,36.23,21.58,5.23,15.0,1.02,280.0,Poor
Ahmedabad,2015-05-20,42.0,,10.44,18.16,21.8,,10.44,17.0,25.5,0.0,0.0,0.0,162.0,Moderate
Ahmedabad,2015-05-21,50.1,,9.46,14.9,22.5,,9.46,30.67,12.91,0.41,1.89,1.44,,
Ahmedabad,2015-05-22,83.69,,10.89,17.18,27.15,,10.89,41.12,35.61,12.62,20.2,17.84,569.0,Severe
Ahmedabad,2015-05-23,38.88,,2.18,16.28,17.74,,2.18,26.4,12.47,3.0,6.96,6.37,128.0,Moderate
Ahmedabad,2015-05-24,46.89,,2.96,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,3.53,129.0,Moderate
Ahmedabad,2015-05-25,70.96,,4.12,15.47,19.28,,4.12,23.67,16.01,3.72,8.13,4.06,152.0,Moderate
Ahmedabad,2015-05-26,53.66,,4.23,14.43,18.06,,4.23,14.46,45.64,2.39,6.4,3.53,176.0,Moderate
Ahmedabad,2015-05-27,45.49,,4.26,13.73,17.1,,4.26,12.85,71.85,2.5,5.96,3.36,167.0,Moderate
Ahmedabad,2015-05-28,60.86,,5.27,16.61,21.42,,5.27,14.91,41.19,3.03,9.18,6.54,106.0,Moderate
Ahmedabad,2015-05-29,51.93,,13.71,17.87,31.64,,13.71,15.33,12.88,6.32,19.17,10.57,231.0,Poor
Ahmedabad,2015-05-30,77.87,,6.67,17.12,23.0,,6.67,46.82,16.67,4.79,9.78,5.1,327.0,Very Poor
Ahmedabad,2015-05-31,57.59,,5.6,15.47,20.42,,5.6,41.68,25.51,2.64,6.3,3.08,174.0,Moderate
Ahmedabad,2015-06-01,77.22,,7.02,15.47,21.13,,7.02,71.97,9.56,3.74,8.45,1.17,185.0,Moderate
Ahmedabad,2015-06-02,45.29,,7.25,12.74,19.66,,7.25,18.64,6.32,2.73,6.99,0.76,179.0,Moderate
Ahmedabad,2015-06-03,103.78,,6.36,13.9,19.86,,6.36,7.76,15.27,0.82,1.37,0.81,211.0,Poor
Ahmedabad,2015-06-04,25.14,,6.01,18.73,24.74,,6.01,38.05,38.52,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,2015-06-05,87.03,,8.05,17.88,25.53,,8.05,23.84,48.22,0.0,0.0,0.0,310.0,Very Poor
Ahmedabad,2015-06-06,89.6,,6.59,19.84,25.9,,6.59,48.05,44.78,0.0,0.0,0.0,223.0,Poor
Ahmedabad,2015-06-07,80.69,,6.86,16.07,22.25,,6.86,39.85,32.65,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,2015-06-08,44.75,,7.76,16.53,24.29,,7.76,9.89,8.07,0.0,0.0,0.0,191.0,Moderate
Ahmedabad,2015-06-09,38.11,,7.41,11.62,19.03,,7.41,3.13,6.69,2.5,5.93,0.74,184.0,Moderate
Ahmedabad,2015-06-10,45.5,,8.56,15.59,24.15,,8.56,0.76,3.82,5.09,8.52,1.82,220.0,Poor
Ahmedabad,2015-06-11,36.98,,8.21,11.52,19.74,,8.21,0.52,5.17,3.63,8.16,1.33,215.0,Poor
Ahmedabad,2015-06-12,43.58,,8.26,13.33,21.58,,8.26,1.02,7.56,3.59,6.79,1.5,226.0,Poor
Ahmedabad,2015-06-13,45.49,,9.63,14.91,24.53,,9.63,0.81,2.94,3.67,6.62,1.17,251.0,Poor
Ahmedabad,2015-06-14,38.06,,8.67,18.57,27.25,,8.67,1.05,4.63,2.85,5.12,0.74,216.0,Poor
Ahmedabad,2015-06-15,45.41,,9.35,20.55,29.9,,9.35,0.74,4.5,2.83,7.18,0.82,237.0,Poor
Ahmedabad,2015-06-16,37.71,,8.54,16.26,24.8,,8.54,0.87,4.6,2.52,7.61,0.81,198.0,Moderate
Ahmedabad,2015-06-17,32.37,,7.53,14.36,21.89,,7.53,2.17,12.17,1.88,7.92,0.69,195.0,Moderate
Ahmedabad,2015-06-18,34.74,,7.59,13.51,21.11,,7.59,4.11,12.22,1.82,6.19,0.47,187.0,Moderate
Ahmedabad,2015-06-19,32.56,,7.34,13.91,21.25,,7.34,4.04,11.85,2.55,9.3,0.97,181.0,Moderate
Ahmedabad,2015-06-20,29.28,,7.55,11.68,19.23,,7.55,4.01,12.64,1.64,7.0,0.62,179.0,Moderate
Ahmedabad,2015-06-21,20.46,,7.15,10.61,17.76,,7.15,5.62,12.7,1.26,5.17,0.32,188.0,Moderate
Ahmedabad,2015-06-22,26.07,,7.99,11.07,19.06,,7.99,4.1,10.57,1.5,6.9,0.63,190.0,Moderate
Ahmedabad,2015-06-23,21.43,,7.45,11.16,18.62,,7.45,4.99,7.38,1.4,6.69,0.76,185.0,Moderate
Ahmedabad,2015-06-24,11.91,,7.34,10.1,17.44,,7.34,10.86,5.47,1.3,12.23,0.73,189.0,Moderate
Ahmedabad,2015-06-25,57.75,,8.68,9.68,18.36,,8.68,12.28,3.06,1.98,6.51,0.74,196.0,Moderate
Ahmedabad,2015-06-26,66.39,,8.58,12.79,21.36,,8.58,11.09,4.96,1.76,6.18,0.57,201.0,Poor
Ahmedabad,2015-06-27,62.61,,9.15,9.83,18.98,,9.15,12.31,6.44,1.87,5.47,0.37,231.0,Poor
Ahmedabad,2015-06-28,47.5,,8.07,9.53,17.59,,8.07,13.91,7.28,1.34,3.97,0.12,196.0,Moderate
Ahmedabad,2015-06-29,111.8,,9.23,11.51,20.74,,9.23,5.27,5.99,1.84,5.69,0.28,220.0,Poor
Ahmedabad,2015-06-30,30.0,,8.87,13.59,22.64,,8.87,8.09,6.31,1.32,4.59,0.16,244.0,Poor
Ahmedabad,2015-07-01,4.66,,9.01,10.9,20.36,,9.01,7.31,6.38,1.27,3.94,0.13,223.0,Poor
Ahmedabad,2015-07-02,48.72,,9.56,11.94,21.5,,9.56,5.72,6.61,1.77,4.96,0.39,230.0,Poor
Ahmedabad,2015-07-03,49.7,,9.43,9.81,19.23,,9.43,6.78,6.42,2.0,4.79,0.31,243.0,Poor
Ahmedabad,2015-07-04,48.1,,8.03,9.53,17.57,,8.03,9.33,7.6,1.68,4.41,0.18,215.0,Poor
Ahmedabad,2015-07-05,47.43,,8.11,9.45,17.56,,8.11,7.93,7.08,2.1,3.6,0.13,199.0,Moderate
Ahmedabad,2015-07-06,51.74,,8.91,12.38,21.28,,8.91,10.05,5.78,2.15,3.64,0.27,200.0,Moderate
Ahmedabad,2015-07-07,42.68,,9.74,11.08,20.82,,9.74,10.87,4.44,1.62,4.96,0.39,226.0,Poor
Ahmedabad,2015-07-08,38.45,,10.55,7.8,18.35,,10.55,10.28,3.24,2.46,4.79,0.41,241.0,Poor
Ahmedabad,2015-07-09,46.69,,11.48,0.17,11.64,,11.48,10.25,5.76,1.77,4.34,0.15,222.0,Poor
Ahmedabad,2015-07-10,55.27,,11.55,0.12,11.66,,11.55,12.7,6.55,1.69,4.17,0.22,223.0,Poor
Ahmedabad,2015-07-11,149.03,,11.49,0.16,11.65,,11.49,10.07,7.27,1.71,5.72,0.19,248.0,Poor
Ahmedabad,2015-07-12,86.57,,11.47,0.17,11.64,,11.47,11.09,6.53,1.57,3.85,0.09,300.0,Poor
Ahmedabad,2015-07-13,111.77,,11.3,0.24,11.53,,11.3,7.73,4.67,1.72,4.52,0.16,232.0,Poor
Ahmedabad,2015-07-14,151.4,,10.8,0.36,11.16,,10.8,7.8,5.46,0.95,3.54,0.12,330.0,Very Poor
Ahmedabad,2015-07-15,51.35,,8.0,2.69,10.67,,8.0,10.0,5.76,1.54,4.32,0.35,223.0,Poor
Ahmedabad,2015-07-16,65.37,,0.64,8.07,8.57,,0.64,16.31,8.02,1.63,4.34,0.28,105.0,Moderate
Ahmedabad,2015-07-17,56.28,,0.6,8.02,8.51,,0.6,18.93,6.2,1.52,3.74,0.29,101.0,Moderate
Ahmedabad,2015-07-18,48.17,,0.65,8.0,8.55,,0.65,18.99,7.97,1.23,4.74,0.12,93.0,Satisfactory
Ahmedabad,2015-07-19,33.56,,0.72,7.89,8.56,,0.72,11.28,10.18,0.61,3.85,0.08,67.0,Satisfactory
Ahmedabad,2015-07-20,31.3,,0.55,8.1,8.49,,0.55,10.29,7.44,0.52,2.31,0.06,60.0,Satisfactory
Ahmedabad,2015-07-21,48.12,,0.67,7.9,8.43,,0.67,1.28,6.3,5.0,21.75,1.54,,
Ahmedabad,2015-07-22,57.11,,0.55,8.28,8.42,,0.55,14.58,2.6,2.81,14.53,1.87,90.0,Satisfactory
Ahmedabad,2015-07-23,34.72,,0.1,9.73,7.88,,0.1,13.62,4.87,1.44,5.22,0.38,78.0,Satisfactory
Ahmedabad,2015-07-24,29.22,,0.06,9.57,7.77,,0.06,13.58,5.08,1.37,3.65,0.32,48.0,Good
Ahmedabad,2015-07-25,29.79,,0.14,8.64,7.97,,0.14,15.11,5.34,0.36,1.05,0.14,53.0,Satisfactory
Ahmedabad,2015-07-26,59.95,,0.18,8.78,8.16,,0.18,11.52,2.79,0.52,1.23,0.22,91.0,Satisfactory
Ahmedabad,2015-07-27,19.2,,1.52,9.45,9.74,,1.52,11.23,4.61,1.29,3.29,0.15,70.0,Satisfactory
Ahmedabad,2015-07-28,19.52,,5.89,11.26,17.15,,5.89,11.56,4.4,0.58,1.44,0.07,157.0,Moderate
Ahmedabad,2015-07-29,35.16,,5.75,10.89,16.64,,5.75,14.7,3.67,1.61,3.71,0.48,158.0,Moderate
Ahmedabad,2015-07-30,33.03,,7.01,10.58,17.58,,7.01,12.95,3.53,1.65,3.96,0.37,169.0,Moderate
Ahmedabad,2015-07-31,40.95,,6.92,10.47,17.39,,6.92,19.8,3.38,2.05,5.08,0.44,174.0,Moderate
Ahmedabad,2015-08-01,40.29,,6.74,10.52,17.26,,6.74,8.27,3.57,1.85,4.34,0.39,173.0,Moderate
Ahmedabad,2015-08-02,41.16,,6.91,10.51,17.42,,6.91,13.48,3.69,1.8,4.23,0.33,172.0,Moderate
Ahmedabad,2015-08-03,36.12,,7.21,11.56,17.07,,7.21,13.62,6.08,1.67,2.85,0.11,190.0,Moderate
Ahmedabad,2015-08-04,28.51,,6.69,20.52,27.21,,6.69,5.69,7.65,1.36,2.17,0.09,171.0,Moderate
Ahmedabad,2015-08-05,31.59,,6.99,20.42,27.41,,6.99,9.23,7.9,0.72,2.29,0.12,168.0,Moderate
Ahmedabad,2015-08-06,42.56,,7.17,20.4,27.57,,7.17,6.28,9.86,1.36,2.94,0.28,172.0,Moderate
